Date,Close,High,Low,Open,Volume,Log_Return,Volatility_20d,Volatility_60d
2010-01-04,8527.8935546875,8527.8935546875,8166.1044921875,8372.8408203125,2279397,,,
2010-01-05,8527.8935546875,8837.9990234375,8527.8935546875,8837.9990234375,1935195,0.0,,
2010-01-06,8372.8408203125,8631.26171875,8217.7880859375,8527.8935546875,917767,-0.01834915351259338,,
2010-01-07,8321.1572265625,8424.525390625,8269.47265625,8372.8408203125,993704,-0.006191897079667249,,
2010-01-08,8062.73583984375,8476.208984375,8062.73583984375,8476.208984375,1562937,-0.03154840174454327,,
2010-01-11,8011.0517578125,8217.7880859375,7907.68310546875,8217.7880859375,1224628,-0.006430875092551723,,
2010-01-12,7855.9990234375,8062.73583984375,7855.9990234375,7959.3671875,2188750,-0.01954461131070891,,
2010-01-13,8114.419921875,8114.419921875,7752.63037109375,7855.9990234375,1414627,0.03236526945840416,,
2010-01-14,8166.1044921875,8269.47265625,8062.73583984375,8269.47265625,1201704,0.006349272619115167,,
2010-01-15,8011.0517578125,8166.1044921875,8011.0517578125,8166.1044921875,791123,-0.019169930766810356,,
2010-01-18,7855.9990234375,7959.3671875,7855.9990234375,7959.3671875,1380286,-0.01954461131070891,,
2010-01-19,8011.0517578125,8114.419921875,7907.68310546875,8062.73583984375,1215728,0.019544611310708997,,
2010-01-20,8166.1044921875,8269.47265625,8011.0517578125,8217.7880859375,3334266,0.019169930766810447,,
2010-01-21,8062.73583984375,8166.1044921875,8011.0517578125,8062.73583984375,2191563,-0.01273905567425865,,
2010-01-22,8062.73583984375,8114.419921875,7907.68310546875,8062.73583984375,1280154,0.0,,
2010-01-25,8114.419921875,8114.419921875,8062.73583984375,8062.73583984375,427184,0.0063897830551434024,,
2010-01-26,8372.8408203125,8372.8408203125,8114.419921875,8269.47265625,1226955,0.031350515769067125,,
2010-01-27,8062.73583984375,8372.8408203125,8062.73583984375,8372.8408203125,1214471,-0.03774029882421062,,
2010-01-28,8062.73583984375,8114.419921875,7959.3671875,7959.3671875,361213,0.0,,
2010-01-29,7959.3671875,8062.73583984375,7959.3671875,8011.0517578125,968654,-0.012903435509278726,,
2010-02-01,8062.73583984375,8166.1044921875,7907.68310546875,7907.68310546875,1189702,0.012903435509278808,0.30830150584983157,
2010-02-02,8372.8408203125,8372.8408203125,8217.7880859375,8269.47265625,3882595,0.037740298824210504,0.34029981940891885,
2010-02-03,8734.630859375,8734.630859375,8476.208984375,8631.26171875,6656074,0.042302450775647815,0.3662093957258742,
2010-02-04,8734.630859375,8786.314453125,8631.26171875,8682.9462890625,4040091,0.0,0.36500409200686,
2010-02-05,8372.8408203125,8682.9462890625,8321.1572265625,8631.26171875,2445120,-0.0423024507756478,0.37996910902647063,
2010-02-08,8579.578125,8579.578125,8321.1572265625,8321.1572265625,1596213,0.024391510738813495,0.38671181275545546,
2010-02-09,8217.7880859375,8579.578125,8217.7880859375,8424.525390625,1963636,-0.04308365915552902,0.41336642177642924,
2010-02-10,8476.208984375,8476.208984375,8424.525390625,8424.525390625,665077,0.030962212561078943,0.41203861299936934,
2010-02-11,8631.26171875,8631.26171875,8476.208984375,8579.578125,1380860,0.018127399770208764,0.4157235021143567,
2010-02-12,8682.9462890625,8786.314453125,8631.26171875,8786.314453125,2606580,0.0059702094149392294,0.4076253319344422,
2010-02-22,8631.26171875,8734.630859375,8579.578125,8734.630859375,1511752,-0.0059702094149391306,0.3999906549738048,
2010-02-23,8321.1572265625,8476.208984375,8269.47265625,8424.525390625,1250067,-0.03658936099423943,0.4214259239522734,
2010-02-24,8321.1572265625,8372.8408203125,8269.47265625,8269.47265625,1816014,0.0,0.4164705481672993,
