Date,Close,High,Low,Open,Volume
2010-01-04,8527.8935546875,8527.8935546875,8166.1044921875,8372.8408203125,2279397
2010-01-05,8527.8935546875,8837.9990234375,8527.8935546875,8837.9990234375,1935195
2010-01-06,8372.8408203125,8631.26171875,8217.7880859375,8527.8935546875,917767
2010-01-07,8321.1572265625,8424.525390625,8269.47265625,8372.8408203125,993704
2010-01-08,8062.73583984375,8476.208984375,8062.73583984375,8476.208984375,1562937
2010-01-11,8011.0517578125,8217.7880859375,7907.68310546875,8217.7880859375,1224628
2010-01-12,7855.9990234375,8062.73583984375,7855.9990234375,7959.3671875,2188750
2010-01-13,8114.419921875,8114.419921875,7752.63037109375,7855.9990234375,1414627
2010-01-14,8166.1044921875,8269.47265625,8062.73583984375,8269.47265625,1201704
2010-01-15,8011.0517578125,8166.1044921875,8011.0517578125,8166.1044921875,791123
2010-01-18,7855.9990234375,7959.3671875,7855.9990234375,7959.3671875,1380286
2010-01-19,8011.0517578125,8114.419921875,7907.68310546875,8062.73583984375,1215728
2010-01-20,8166.1044921875,8269.47265625,8011.0517578125,8217.7880859375,3334266
2010-01-21,8062.73583984375,8166.1044921875,8011.0517578125,8062.73583984375,2191563
2010-01-22,8062.73583984375,8114.419921875,7907.68310546875,8062.73583984375,1280154
2010-01-25,8114.419921875,8114.419921875,8062.73583984375,8062.73583984375,427184
2010-01-26,8372.8408203125,8372.8408203125,8114.419921875,8269.47265625,1226955
2010-01-27,8062.73583984375,8372.8408203125,8062.73583984375,8372.8408203125,1214471
2010-01-28,8062.73583984375,8114.419921875,7959.3671875,7959.3671875,361213
2010-01-29,7959.3671875,8062.73583984375,7959.3671875,8011.0517578125,968654
2010-02-01,8062.73583984375,8166.1044921875,7907.68310546875,7907.68310546875,1189702
2010-02-02,8372.8408203125,8372.8408203125,8217.7880859375,8269.47265625,3882595
2010-02-03,8734.630859375,8734.630859375,8476.208984375,8631.26171875,6656074
2010-02-04,8734.630859375,8786.314453125,8631.26171875,8682.9462890625,4040091
2010-02-05,8372.8408203125,8682.9462890625,8321.1572265625,8631.26171875,2445120
2010-02-08,8579.578125,8579.578125,8321.1572265625,8321.1572265625,1596213
2010-02-09,8217.7880859375,8579.578125,8217.7880859375,8424.525390625,1963636
2010-02-10,8476.208984375,8476.208984375,8424.525390625,8424.525390625,665077
2010-02-11,8631.26171875,8631.26171875,8476.208984375,8579.578125,1380860
2010-02-12,8682.9462890625,8786.314453125,8631.26171875,8786.314453125,2606580
2010-02-22,8631.26171875,8734.630859375,8579.578125,8734.630859375,1511752
2010-02-23,8321.1572265625,8476.208984375,8269.47265625,8424.525390625,1250067
2010-02-24,8321.1572265625,8372.8408203125,8269.47265625,8269.47265625,1816014
2010-02-25,8321.1572265625,8424.525390625,8217.7880859375,8321.1572265625,2598551
2010-02-26,8062.73583984375,8269.47265625,8062.73583984375,8269.47265625,6629277
2010-03-01,8269.47265625,8321.1572265625,8269.47265625,8321.1572265625,670879
2010-03-02,8269.47265625,8269.47265625,8217.7880859375,8269.47265625,1879183
2010-03-03,8372.8408203125,8372.8408203125,8321.1572265625,8372.8408203125,2017713
2010-03-04,8527.8935546875,8527.8935546875,8372.8408203125,8476.208984375,2990548
2010-03-05,8476.208984375,8579.578125,8476.208984375,8527.8935546875,2676911
2010-03-08,8527.8935546875,8579.578125,8476.208984375,8476.208984375,2817959
2010-03-09,8682.9462890625,8682.9462890625,8579.578125,8579.578125,4297034
2010-03-10,9096.419921875,9096.419921875,8734.630859375,8837.9990234375,11541908
2010-03-11,9199.7880859375,9303.1572265625,9096.419921875,9251.47265625,2335414
2010-03-12,9199.7880859375,9251.47265625,9096.419921875,9251.47265625,3262096
2010-03-15,9096.419921875,9199.7880859375,8993.0517578125,9199.7880859375,2306290
2010-03-16,8682.9462890625,8941.3671875,8682.9462890625,8889.6826171875,6213675
2010-03-17,8734.630859375,8889.6826171875,8682.9462890625,8837.9990234375,3313367
2010-03-18,8941.3671875,8941.3671875,8734.630859375,8734.630859375,924827
2010-03-19,8889.6826171875,8993.0517578125,8837.9990234375,8993.0517578125,1877636
2010-03-22,8682.9462890625,8837.9990234375,8682.9462890625,8837.9990234375,1383476
2010-03-23,8579.578125,8786.314453125,8527.8935546875,8682.9462890625,1241462
2010-03-24,8786.314453125,8837.9990234375,8682.9462890625,8734.630859375,2343830
2010-03-25,8631.26171875,8786.314453125,8579.578125,8786.314453125,2379813
2010-03-26,8579.578125,8631.26171875,8476.208984375,8631.26171875,1475965
2010-03-29,8734.630859375,8786.314453125,8631.26171875,8682.9462890625,866978
2010-03-30,8631.26171875,8734.630859375,8527.8935546875,8734.630859375,2077502
2010-03-31,8631.26171875,8682.9462890625,8631.26171875,8682.9462890625,1740261
2010-04-01,8786.314453125,8786.314453125,8682.9462890625,8682.9462890625,2774238
2010-04-02,8889.6826171875,8941.3671875,8786.314453125,8889.6826171875,2965772
2010-04-05,8889.6826171875,8941.3671875,8889.6826171875,8941.3671875,1614013
2010-04-06,8889.6826171875,8993.0517578125,8889.6826171875,8889.6826171875,2752465
2010-04-07,8941.3671875,8941.3671875,8889.6826171875,8889.6826171875,1461647
2010-04-08,8889.6826171875,8993.0517578125,8889.6826171875,8889.6826171875,1318756
2010-04-09,8889.6826171875,8941.3671875,8889.6826171875,8889.6826171875,1046436
2010-04-12,8993.0517578125,8993.0517578125,8941.3671875,8993.0517578125,1828780
2010-04-13,8993.0517578125,9044.7353515625,8941.3671875,8993.0517578125,2561402
2010-04-14,9044.7353515625,9044.7353515625,8941.3671875,8993.0517578125,1305023
2010-04-15,9044.7353515625,9096.419921875,8993.0517578125,9096.419921875,1980758
2010-04-16,8993.0517578125,9096.419921875,8993.0517578125,9096.419921875,970198
2010-04-19,8889.6826171875,8993.0517578125,8889.6826171875,8993.0517578125,2457696
2010-04-20,8889.6826171875,8889.6826171875,8734.630859375,8734.630859375,1193187
2010-04-21,8889.6826171875,8941.3671875,8837.9990234375,8889.6826171875,1492701
2010-04-22,9096.419921875,9096.419921875,8889.6826171875,8889.6826171875,2581230
2010-04-26,9148.1044921875,9199.7880859375,9096.419921875,9096.419921875,2589944
2010-04-27,9148.1044921875,9251.47265625,9148.1044921875,9148.1044921875,3253673
2010-04-28,9148.1044921875,9148.1044921875,9044.7353515625,9096.419921875,1517176
2010-04-29,9096.419921875,9199.7880859375,9096.419921875,9199.7880859375,4464979
2010-05-04,9148.1044921875,9354.8408203125,9148.1044921875,9354.8408203125,986158
2010-05-05,9199.7880859375,9199.7880859375,9096.419921875,9148.1044921875,2986960
2010-05-06,9044.7353515625,9199.7880859375,9044.7353515625,9096.419921875,2898254
2010-05-07,8941.3671875,8993.0517578125,8837.9990234375,8941.3671875,2039677
2010-05-10,8837.9990234375,8941.3671875,8682.9462890625,8941.3671875,3249034
2010-05-11,8820.7490234375,9234.2216796875,8820.7490234375,9165.3095703125,1131718
2010-05-12,8614.0126953125,8889.6611328125,8614.0126953125,8820.7490234375,679182
2010-05-13,8751.8369140625,8820.7490234375,8545.1005859375,8820.7490234375,665540
2010-05-14,8751.8369140625,8889.6611328125,8751.8369140625,8751.8369140625,316180
2010-05-17,8407.2763671875,8751.8369140625,8407.2763671875,8751.8369140625,987109
2010-05-18,8407.2763671875,8476.1884765625,8269.4521484375,8338.3642578125,2044546
2010-05-19,8200.5400390625,8269.4521484375,8131.6279296875,8131.6279296875,2045566
2010-05-20,8476.1884765625,8476.1884765625,7993.8037109375,7993.8037109375,646097
2010-05-21,8131.6279296875,8407.2763671875,8131.6279296875,8200.5400390625,1978446
2010-05-24,8476.1884765625,8476.1884765625,8269.4521484375,8338.3642578125,1099359
2010-05-25,8889.6611328125,8889.6611328125,8614.0126953125,8682.9248046875,1794444
2010-05-26,8889.6611328125,9096.3974609375,8820.7490234375,9096.3974609375,1820487
2010-05-27,9027.4853515625,9027.4853515625,8820.7490234375,8889.6611328125,5446704
2010-05-28,9096.3974609375,9234.2216796875,9027.4853515625,9234.2216796875,3447056
2010-05-31,8958.5732421875,9096.3974609375,8958.5732421875,9096.3974609375,1427599
